model,stratum,n_true,energy_distance,variogram,C2ST_acc,C2ST_p,W1_peak_I,W1_peak_time,W1_auc,W1_extinction_time,W1_extinction,C2ST_solo_peak_I,C2ST_solo_peak_time,C2ST_solo_auc,C2ST_solo_extinction_time,C2ST_solo_extinction,C2ST_sans_peak_I,C2ST_sans_peak_time,C2ST_sans_auc,C2ST_sans_extinction_time,C2ST_sans_extinction
Diffusion,small,4999,2.02690371074293,115.136192094557,0.983997098549275,0,4.144367,13.202736,87.911091,82.745466,0.145,0.508000900450225,0.58751835917959,0.510102651325663,0.979496098049025,0.572613506753377,0.980896198099049,0.98399659829915,0.980296048024012,0.599521660830415,0.983496448224112
Diffusion,medium,3274,4.99534570204101,262.247467622515,0.952044506907551,0,47.4319410000002,18.941768,650.841821999997,69.7485405,0.206,0.492210008222581,0.626756395826894,0.499697339032768,0.932653677709807,0.603082476571475,0.941051673965908,0.953726812029461,0.940896203033608,0.633015004752769,0.941661078032879
Diffusion,large,1727,7.81487044712721,382.770464737781,0.922992931898739,0,477.188240000001,16.761791,7285.33444900001,61.369403,0.236,0.517666897376203,0.608276180289016,0.500864531554773,0.896058642169509,0.618126219090166,0.912279200486587,0.925012269552633,0.910245181316722,0.627099981123765,0.898956353950377
Diffusion,all,10000,3.09300704478613,195.963419966041,0.95805,0,75.8883109999998,15.6836865,1479.24641749999,74.7969345,0.181,0.4953,0.6025,0.5119,0.9489,0.59045,0.9553,0.9583,0.9545,0.6152,0.9468
FlowMatching,small,4999,0.207476194246761,4.82695349903149,0.860671585792897,0,4.379804,1.632749,17.084787,59.520521,0.02,0.518503501750876,0.517204452226113,0.487798299149575,0.80295867933967,0.498299699849925,0.860972436218109,0.823864632316158,0.860573236618309,0.564512806403202,0.861271435717859
FlowMatching,medium,3274,1.91453744393278,65.8765201730995,0.933414820473644,0,35.6654050000001,3.6717155,345.270386500001,69.6531455,0.035,0.511305057762175,0.512828276348707,0.510082167495728,0.91951655887893,0.517410878299967,0.932039958245616,0.926543541774795,0.933412487826498,0.519235241633086,0.922724881763948
FlowMatching,large,1727,6.22477721352396,146.624940012234,0.905612114348036,0,395.516932000001,7.329384,5112.18941800002,61.529784,0.042309,0.493629061012186,0.532719645965729,0.510130665492145,0.890565657836784,0.521131735145452,0.902136789781665,0.902145179219363,0.901560435411817,0.527789173430651,0.900114515824577
FlowMatching,all,10000,0.827208310009404,33.3980329727975,0.8693,0,73.9959685000001,1.8874755,888.329485500005,63.1757385,0.0282094999999999,0.50135,0.50125,0.5,0.83785,0.5143,0.8694,0.84605,0.8693,0.49275,0.85855
StochasticInterpolants,small,4999,0.396515811660592,12.9958530059575,0.901679689844922,0,3.425487,2.366843,28.2478859999999,64.178326,0.079,0.510502451225613,0.538008154077039,0.505899949974988,0.853471035517759,0.539609204602301,0.90177943971986,0.866973086543272,0.901980590295148,0.602320660330165,0.900379189594797
StochasticInterpolants,medium,3274,2.32259876414758,89.5148389305249,0.919060176464757,0,29.2465075000001,2.08406,329.1510965,67.795022,0.086,0.515122318184734,0.510693321048058,0.497402130873168,0.907451524676491,0.542912776491582,0.910505776217496,0.917530776363287,0.912490392409566,0.553299704336974,0.918143212871547
StochasticInterpolants,large,1727,6.98974786404794,167.346972577198,0.88563476582982,0,516.805577,4.444956,3391.671119,60.738692,0.0750229999999999,0.513611023721135,0.520845655319952,0.494206673797689,0.876662262211875,0.537630822794102,0.885639380020554,0.885058830931857,0.885927976677363,0.549211183120451,0.887087396967218
StochasticInterpolants,all,10000,1.37866283630889,50.1220989605114,0.89005,0,91.7305185000003,0.953602000000001,681.087982000004,64.753457,0.081,0.49085,0.49645,0.49825,0.86355,0.54035,0.89,0.8683,0.8897,0.54425,0.8895
OracleFloor,small,2512,0.00787515530747029,0.0344655850477979,0.507702102102102,0.141206933586839,2.862272,0.387428999999999,23.9994540000001,0.729552,0.00183950000000004,0.502102902902903,0.490701501501501,0.500297697697698,0.503103103103103,0.486299299299299,0.495900900900901,0.494498898898899,0.500901101101101,0.495300700700701,0.495498698698699
OracleFloor,medium,1632,0.0458935310952207,0.147959466863144,0.511299110581974,0.101009031574284,16.864665,1.2724375,311.799883500001,2.411851,0.0161279999999999,0.487475313397297,0.505194107897379,0.501218572729183,0.50214300721339,0.507331512477531,0.509170109951677,0.518630156173401,0.513440717137054,0.505503653383757,0.504277610476924
OracleFloor,large,856,0.105783677108221,0.281395793966829,0.518257518639524,0.0678484994564306,528.796165000001,1.028345,3834.68042250001,1.3757875,0.0481525,0.49394822819804,0.483471559018179,0.49970846946469,0.484069699254419,0.526298064840412,0.524585741811175,0.533852726815783,0.535598559101952,0.525758565803803,0.495100946636508
OracleFloor,all,5000,0.0164139636704697,0.0314431465648827,0.4886,0.988991689369797,89.7794885000011,0.605717999999999,794.307183499994,0.7163995,0.002,0.4955,0.4958,0.4931,0.4989,0.4913,0.4903,0.4899,0.495,0.4947,0.4941
