model,cut_label,horizon,regime,energy_score,crps,WIS,cov80,bd_rank,skill_clim,skill_pers
Diffusion,declining,5,established,2.13685478760131,0.882699997609065,0.825463613545678,0.399043062200957,10.3444976076555,0.135189602582939,-1.06101038786233
FlowMatching,declining,5,established,1.28923268123294,0.498815356115781,0.459968062150962,0.452631578947368,10.9521531100478,0.45664997982817,-0.232199525498219
StochasticInterpolants,declining,5,established,1.36452601925312,0.549643371335276,0.501745719059182,0.527272727272727,14.3540669856459,0.44597675713949,-0.742425719614439
Diffusion,peak,5,established,0.963606955600235,0.362090372071686,0.331462993620155,0.611707317073171,21.9560975609756,0.660205764268776,-0.663829034226514
FlowMatching,peak,5,established,0.669540540190551,0.259228817426298,0.236137880585717,0.671219512195122,23.9317073170732,0.714244378401057,0.313861071411466
StochasticInterpolants,peak,5,established,0.809119698910393,0.317339570012488,0.287657815040081,0.697560975609756,25.2439024390244,0.682399029683683,-0.108240021709881
Diffusion,rising,5,established,2.51535869458402,1.0268196553247,0.918734738921357,0.356937799043062,16.6411483253589,0.0700956802827451,-0.775351184960793
FlowMatching,rising,5,established,1.67018469806348,0.70032540189996,0.627232682283116,0.45933014354067,18.5837320574163,0.393350391460285,-0.0555132369013473
StochasticInterpolants,rising,5,established,1.92619127979885,0.796761043012493,0.712907757390133,0.432535885167464,18.8421052631579,0.289128632304091,-0.292872839646296
Diffusion,declining,10,established,3.07028413270972,0.860244323470667,0.796360848098049,0.529411764705882,12.1911764705882,0.184639174873811,-0.194716795384052
FlowMatching,declining,10,established,1.74756131431852,0.462280677899532,0.421842450393213,0.568137254901961,10.7058823529412,0.504435124418277,0.321448211392835
StochasticInterpolants,declining,10,established,1.90909209086498,0.522449415470345,0.473851503638451,0.600980392156863,13.4362745098039,0.453749202006143,0.130612258881502
Diffusion,peak,10,established,1.9296739993809,0.504040086546846,0.460454695251692,0.61871921182266,20.3891625615764,0.533921222119062,-0.19244645802861
FlowMatching,peak,10,established,1.41446947113271,0.374952915252966,0.342931297058472,0.672906403940887,21.192118226601,0.631034718158424,0.545119591573742
StochasticInterpolants,peak,10,established,1.56286504280653,0.423683011664348,0.3843224997809,0.684236453201971,22.9901477832512,0.590851114122934,0.285037428732786
Diffusion,rising,10,established,3.84448836379331,1.09323147556671,0.97621579078253,0.389473684210526,15.5358851674641,0.0692435780010355,-0.357703178937348
